"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","enzyme","go"
"ENSG00000213402",177.576244218518,-7.91827072132379,0.800750005064432,-9.88856780673595,4.66656071311379e-23,5.41288179617586e-21,"PTPRCAP",NA,"GO:0005886"
"ENSG00000113083",748.830836488107,9.33753303963501,0.946558234406518,9.86472115525945,5.91987032326384e-23,6.81861427234116e-21,"LOX",NA,"GO:0004720"
"ENSG00000124145",1072.9543772597,4.96995887932365,0.506057132685586,9.82094423400113,9.14825955984208e-23,1.04639571673721e-20,"SDC4",NA,"GO:0001523"
"ENSG00000151491",359.080588310205,4.9190548501275,0.501762914278591,9.80354408456007,1.08703230128719e-22,1.23479372651733e-20,"EPS8",NA,"GO:0003779"
"ENSG00000183853",452.273078793626,5.76535070460851,0.588474611625531,9.79711034378016,1.15852490511852e-22,1.30699066521967e-20,"KIRREL1",NA,"GO:0001933"
"ENSG00000182195",212.25329154605,8.96102804666228,0.915137542602086,9.79200134351679,1.21859580883412e-22,1.36540758961271e-20,"LDOC1",NA,"GO:0001893"
"ENSG00000161405",50.0418318771499,-6.26225301976161,0.640019256017254,-9.78447595269352,1.31273545049577e-22,1.46095037872404e-20,"IKZF3",NA,"GO:0000977"
"ENSG00000129219",105.692999711811,2.43829421931436,0.249831913946793,9.75973878114568,1.67586316814209e-22,1.85255988204486e-20,"PLD2","3.1.4.4","GO:0004630"
"ENSG00000104894",101.958178092556,-8.19676399862456,0.840328934142315,-9.75423273624467,1.76933505305538e-22,1.94284784392501e-20,"CD37",NA,"GO:0001772"
"ENSG00000140945",323.947477828614,6.5337021668369,0.670657352521774,9.74223594547824,1.99123959274656e-22,2.17203359815421e-20,"CDH13",NA,"GO:0000278"
"ENSG00000125868",2377.52009540604,2.39928530182668,0.246397524402007,9.73745701240146,2.08711817392313e-22,2.26163970017684e-20,"DSTN",NA,"GO:0005515"
"ENSG00000269404",70.6447117140835,-6.48035292369602,0.666089210669911,-9.72895645191202,2.26908753945248e-22,2.44275430472691e-20,"SPIB",NA,"GO:0000980"
"ENSG00000166250",244.818388187715,9.22720464034105,0.95034741064771,9.70929634464121,2.75230559122887e-22,2.94371593461887e-20,"CLMP",NA,"GO:0005881"
"ENSG00000077942",1344.19814569316,6.93980100661299,0.715548754802178,9.69857184439037,3.05748186070979e-22,3.24901830501619e-20,"FBLN1",NA,"GO:0001933"
"ENSG00000150630",196.879643193015,9.89262700338913,1.0226277897452,9.67373183341128,3.8989539501506e-22,4.11664554570068e-20,"VEGFC",NA,"GO:0001525"
"ENSG00000132465",3720.42709341699,-9.67877938712142,1.00118330773787,-9.6673399489552,4.15025084997583e-22,4.35406253184407e-20,"JCHAIN",NA,"GO:0001895"
"ENSG00000156113",196.305203249627,9.40721370607562,0.975207802013693,9.64636838082181,5.09273784521523e-22,5.30901804104684e-20,"KCNMA1",NA,"GO:0001666"
"ENSG00000100211",256.191427279231,1.95789621853891,0.203190395465619,9.63577148443612,5.64662297793144e-22,5.8494042182081e-20,"CBY1",NA,"GO:0005515"
"ENSG00000188026",64.2390437248892,2.96633793300455,0.307963044847959,9.63212301810118,5.85079618596137e-22,6.02302899868561e-20,"RILPL1",NA,"GO:0003382"
"ENSG00000147027",170.28924222652,10.1643920368445,1.05811741308605,9.60610978624718,7.53418647501503e-22,7.70780033726537e-20,"TMEM47",NA,"GO:0003674"
"ENSG00000128510",232.055038161515,7.92826854281921,0.832768676048248,9.52037314904946,1.72558321240187e-21,1.75444945009082e-19,"CPA4",NA,"GO:0004181"
"ENSG00000074410",364.000967931277,9.79648309398245,1.0298657112134,9.51238883605525,1.8633357164858e-21,1.88288359424771e-19,"CA12","4.2.1.1","GO:0004089"
"ENSG00000169442",581.456934174553,-8.1985121143161,0.862124988003816,-9.50965605729527,1.91293956386937e-21,1.92122119246905e-19,"CD52",NA,"GO:0005576"
"ENSG00000122203",583.378483483211,1.49661460271296,0.157421934496497,9.50702713379666,1.96189037034796e-21,1.95844219939401e-19,"KIAA1191",NA,"GO:0003674"
